rank	file	title	author	subtitle
1	1342-0.txt	Pride and Prejudice	Jane Austen
2	84-0.txt	Frankenstein	Mary Wollstonecraft (Godwin) Shelley	or The Modern Prometheus
3	pg345.txt	Dracula	Bram Stoker
4	219-0.txt	Heart of Darkness	Joseph Conrad
5	46-0.txt	A Christmas Carol	Charles Dickens	A Ghost Story of Christmas
6	98-0.txt	A Tale of Two Cities	Charles Dickens	A Story of the French Revolution
7	pg1080.txt	A Modest Proposal	Jonathan Swift	For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick - 1729
8	2701-0.txt	Moby Dick	Herman Melville	or The Whale
9	11-0.txt	Alice's Adventures in Wonderland	Lewis Carroll
10	pg5200.txt	Metamorphosis	Franz Kafka
11	43-0.txt	The Strange Case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson
12	pg2542.txt	A Doll's House	Henrik Ibsen
13	pg16328.txt	Beowulf	Translated by Heyne-Socin, Text by Lesslie Hall	An Anglo-Saxon Epic Poem
14	pg844.txt	The Importance of Being Earnest	Oscar Wilde	A Trivial Comedy for Serious People
15	pg1661.txt	The Adventures of Sherlock Holmes	Arthur Conan Doyle
16	2591-0.txt	Grimm's Fairy Tales	The Brothers Grimm
17	30254-0.txt	The Romance of Lust	Anonymous	A classic Victorian erotic novel
18	pg685.txt	The Atomic Bombings of Hiroshima and Nagasaki	United States
19	74-0.txt	The Adventures of Tom Sawyer, Complete	Mark Twain (Samuel Clemens)
20	pg174.txt	The Picture of Dorian Gray	Oscar Wilde
